word;pos;CON_type;lemma;id;ref1;ref2;F
comme;CON;subord;come1-come;faba;s124329;2;1
comme;CON;subord;come1-come;faba;s124645;2;1
comme;CON;subord;come1-come;fabj;s128614;1;1
comme;CON;subord;come1-come;fabj;s128802;4;1
comme;CON;subord;come1-come;fablesT;s148768;3;1
comme;CON;subord;come1-come;fablesZ;s151765;2;1
comme;CON;subord;come1-come;fablesZ;s152315;1;1
comme;CON;subord;come1-come;feu;s154593;1;1
comme;CON;subord;come1-come;gar;s160629;3;1
comme;CON;subord;come1-come;gepa;s160774;35;1
comme;CON;subord;come1-come;gepa;s160847;1;1
comme;CON;subord;come1-come;gepa;s161041;8;1
comme;CON;subord;come1-come;graal;s165148;4;1
comme;CON;subord;come1-come;graal;s165228;3;1
comme;CON;subord;come1-come;guil;s173106;1;1
comme;CON;subord;come1-come;helc;s174604;25;1
comme;CON;subord;come1-come;helc;s174685;17;1
comme;CON;subord;come1-come;helc;s174711;17;1
comme;CON;subord;come1-come;helc;s174782;13;1
comme;CON;subord;come1-come;helc;s174873;7;1
comme;CON;subord;come1-come;helc;s175076;34;1
comme;CON;subord;come1-come;hue;s182307;1;1
comme;CON;subord;come1-come;hue;s182314;1;1
comme;CON;subord;come1-come;hue;s182655;4;1
comme;CON;subord;come1-come;jaco;s195246;1;1
comme;CON;subord;come1-come;jaco;s196213;6;1
comme;CON;subord;come1-come;joinv;s197328;34;1
comme;CON;subord;come1-come;joinv;s197421;16;1
comme;CON;subord;come1-come;joinv;s197520;39;1
comme;CON;subord;come1-come;joinv;s197584;1;1
comme;CON;subord;come1-come;joinv;s197604;3;1
comme;CON;subord;come1-come;joinv;s197620;4;1
comme;CON;subord;come1-come;joinv;s197710;22;1
comme;CON;subord;come1-come;jongl;s198827;1;1
comme;CON;subord;come1-come;jongl;s199143;3;1
comme;CON;subord;come1-come;lancpr;s203113;64;1
comme;CON;subord;come1-come;lin;s206542;5;1
comme;CON;subord;come1-come;loth;s211820;1;1
comme;CON;subord;come1-come;loth;s211975;3;1
comme;CON;subord;come1-come;loth;s212174;8;1
comme;CON;subord;come1-come;loth;s212192;1;1
comme;CON;subord;come1-come;loys;s212663;25;1
comme;CON;subord;come1-come;loys;s212691;15;1
comme;CON;subord;come1-come;loys;s212709;45;1
comme;CON;subord;come1-come;loys;s212714;77;1
comme;CON;subord;come1-come;loys;s212760;2;1
comme;CON;subord;come1-come;loys;s212762;2;1
comme;CON;subord;come1-come;loys;s212774;105;1
comme;CON;subord;come1-come;loys;s212804;2;1
comme;CON;subord;come1-come;loys;s212809;90;1
comme;CON;subord;come1-come;loys;s212925;3;1
comme;CON;subord;come1-come;loys;s212939;1;1
comme;CON;subord;come1-come;loys;s213115;51;1
comme;CON;subord;come1-come;loys;s213132;18;1
comme;CON;subord;come1-come;loys;s213146;17;1
comme;CON;subord;come1-come;loys;s213194;2;1
comme;CON;subord;come1-come;loys;s213209;32;1
comme;CON;subord;come1-come;loys;s213290;2;1
comme;CON;subord;come1-come;loys;s213362;6;1
comme;CON;subord;come1-come;loys;s213383;2;1
comme;CON;subord;come1-come;loys;s213394;2;1
comme;CON;subord;come1-come;loys;s213449;2;1
comme;CON;subord;come1-come;loys;s213451;6;1
comme;CON;subord;come1-come;loys;s213486;65;1
comme;CON;subord;come1-come;loys;s213500;2;1
comme;CON;subord;come1-come;loys;s213502;2;1
comme;CON;subord;come1-come;loys;s213508;24;1
comme;CON;subord;come1-come;loys;s213508;7;1
comme;CON;subord;come1-come;loys;s213542;15;1
comme;CON;subord;come1-come;loys;s213545;2;1
comme;CON;subord;come1-come;loys;s213550;22;1
comme;CON;subord;come1-come;loys;s213564;2;1
comme;CON;subord;come1-come;loys;s213633;28;1
comme;CON;subord;come1-come;loys;s213717;3;1
comme;CON;subord;come1-come;loys;s213766;21;1
comme;CON;subord;come1-come;loys;s213812;5;1
comme;CON;subord;come1-come;loys;s213848;2;1
comme;CON;subord;come1-come;loys;s213859;17;1
comme;CON;subord;come1-come;loys;s213859;95;1
comme;CON;subord;come1-come;loys;s213864;2;1
comme;CON;subord;come1-come;loys;s213865;17;1
comme;CON;subord;come1-come;loys;s213997;7;1
comme;CON;subord;come1-come;loys;s214006;2;1
comme;CON;subord;come1-come;loys;s214078;64;1
comme;CON;subord;come1-come;loys;s214116;2;1
comme;CON;subord;come1-come;loys;s214121;26;1
comme;CON;subord;come1-come;loys;s214129;16;1
comme;CON;subord;come1-come;loys;s214129;96;1
comme;CON;subord;come1-come;loys;s214130;2;1
comme;CON;subord;come1-come;loys;s214185;61;1
comme;CON;subord;come1-come;loys;s214186;2;1
comme;CON;subord;come1-come;loys;s214198;2;1
comme;CON;subord;come1-come;martin2;s226573;1;1
comme;CON;subord;come1-come;merlin;s230699;3;1
comme;CON;subord;come1-come;merlin;s231154;6;1
comme;CON;subord;come1-come;merlin;s231376;2;1
comme;CON;subord;come1-come;merlin;s231521;4;1
comme;CON;subord;come1-come;merm;s231923;18;1
comme;CON;subord;come1-come;merm;s232158;17;1
comme;CON;subord;come1-come;merm;s232184;58;1
comme;CON;subord;come1-come;merm;s232211;2;1
comme;CON;subord;come1-come;merm;s232242;9;1
comme;CON;subord;come1-come;merm;s232250;30;1
comme;CON;subord;come1-come;mortartu;s247410;10;1
comme;CON;subord;come1-come;mortartu;s247493;15;1
comme;CON;subord;come1-come;mortartu;s247531;27;1
comme;CON;subord;come1-come;mortartu;s247565;39;1
comme;CON;subord;come1-come;mortartu;s247582;8;1
comme;CON;subord;come1-come;narcA;s253090;5;1
comme;CON;subord;come1-come;narcA;s253130;2;1
comme;CON;subord;come1-come;narcA;s253145;3;1
comme;CON;subord;come1-come;narcA;s253146;1;1
comme;CON;subord;come1-come;narcA;s253388;4;1
comme;CON;subord;come1-come;narcA;s253396;3;1
comme;CON;subord;come1-come;narcA;s253521;3;1
comme;CON;subord;come1-come;narcA;s253632;4;1
comme;CON;subord;come1-come;narcA;s253900;2;1
comme;CON;subord;come1-come;ndchar;s256501;3;1
comme;CON;subord;come1-come;ndchar;s256748;1;1
comme;CON;subord;come1-come;ndchar;s256749;2;1
comme;CON;subord;come1-come;ndchar;s257121;2;1
comme;CON;subord;come1-come;ndchar;s257524;4;1
comme;CON;subord;come1-come;ndchar;s257649;2;1
comme;CON;subord;come1-come;ndchar;s258079;2;1
comme;CON;subord;come1-come;ndchar;s258158;2;1
